COG20_FUNCTION,enrichment_score,unadjusted_p_value,adjusted_q_value,associated_groups,accession,gene_clusters_ids,p_Other,p_Sourdough,N_Other,N_Sourdough
Galactose mutarotase or related enzyme (GalM) (PDB:1LUR),14.87332995,1.15E-04,0.017826448,Other,COG2017,"GC_00001661, GC_00002686",0.9062,0.4483,32,29
Cupin domain protein related to quercetin dioxygenase (QdoI) (PDB:2H0V),14.33440094,1.53E-04,0.017826448,Other,COG1917,"GC_00002483, GC_00002685, GC_00002933, GC_00004251, GC_00005116",0.875,0.4138,32,29
Flagellar basal body P-ring protein FlgI (FlgI),13.67360127,2.17E-04,0.017826448,Other,COG1706,GC_00001764,0.7812,0.3103,32,29
Flagellar biosynthesis protein FlhB (FlhB) (PDB:6S3L),13.67360127,2.17E-04,0.017826448,Other,COG1377,"GC_00002300, GC_00004082, GC_00005935",0.7812,0.3103,32,29
Flagellar biosynthesis/type III secretory pathway M-ring protein FliF/YscJ (FliF) (PDB:6SCN),13.67360127,2.17E-04,0.017826448,Other,COG1766,"GC_00002226, GC_00004036, GC_00005896",0.7812,0.3103,32,29
"Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains (CheB) (PDB:1A2O)",13.67360127,2.17E-04,0.017826448,Other,COG2201,"GC_00002132, GC_00004002, GC_00006669, GC_00010406, GC_00011346",0.7812,0.3103,32,29
Flagellar basal body L-ring protein FlgH (FlgH),13.67360127,2.17E-04,0.017826448,Other,COG2063,GC_00001785,0.7812,0.3103,32,29
Flagellar hook-capping protein FlgD (FlgD) (PDB:6IEF),13.67360127,2.17E-04,0.017826448,Other,COG1843,"GC_00002265, GC_00004215, GC_00005853",0.7812,0.3103,32,29
Flagellar biosynthesis protein FliP (FliP) (PDB:5H72),13.67360127,2.17E-04,0.017826448,Other,COG1338,GC_00001794,0.7812,0.3103,32,29
Flagellar basal body rod protein FlgG (FlgG) (PDB:6JZR),13.67360127,2.17E-04,0.017826448,Other,COG4786,"GC_00001782, GC_00002048, GC_00003917",0.7812,0.3103,32,29
Flagellar hook-basal body complex protein FliE (FliE),13.67360127,2.17E-04,0.017826448,Other,COG1677,"GC_00002258, GC_00004113, GC_00006384",0.7812,0.3103,32,29
Flagellar motor component MotA (MotA),13.67360127,2.17E-04,0.017826448,Other,COG1291,GC_00001784,0.7812,0.3103,32,29
Flagellar biosynthesis protein FlhA (FlhA) (PDB:6AI0),13.67360127,2.17E-04,0.017826448,Other,COG1298,GC_00001769,0.7812,0.3103,32,29
Flagellar biosynthesis protein FliQ (FliQ) (PDB:6F2D),13.67360127,2.17E-04,0.017826448,Other,COG1987,GC_00001783,0.7812,0.3103,32,29
Flagellar biosynthesis protein FliR (FliR) (PDB:6S3R),13.67360127,2.17E-04,0.017826448,Other,COG1684,"GC_00002305, GC_00004481, GC_00005954",0.7812,0.3103,32,29
Rod binding protein domain (FlgJ1),13.67360127,2.17E-04,0.017826448,Other,COG3951,"GC_00002291, GC_00003788, GC_00006009",0.7812,0.3103,32,29
Flagellar basal body rod protein FlgC (FlgC),13.67360127,2.17E-04,0.017826448,Other,COG1558,GC_00001786,0.7812,0.3103,32,29
Inosine-uridine nucleoside N-ribohydrolase (URH1) (PDB:1EZR),13.11103087,2.94E-04,0.022457501,Other,COG1957,"GC_00001733, GC_00001842, GC_00002533, GC_00005804, GC_00011233",0.9062,0.4828,32,29
"5-Methylthioribose/5-deoxyribose kinase, methionine salvage pathway (MthN) (PDB:2OLC) (PUBMED:31950558)",13.11103087,2.94E-04,0.022457501,Other,COG4857,"GC_00001923, GC_00004469, GC_00008468, GC_00011554",0.9062,0.4828,32,29
SRSO17 transposase (Srso17),12.13930983,4.94E-04,0.02949432,Other,COG5659,"GC_00001590, GC_00001901, GC_00005888, GC_00008725",0.6875,0.2414,32,29
"Uncharacterized conserved protein YggE, contains kinase-interacting SIMPL domain (YggE) (PDB:4HVZ)",12.09567566,5.05E-04,0.02949432,Sourdough,COG2968,"GC_00001959, GC_00002562",0.5312,0.931,32,29
"Ethanolamine ammonia-lyase, large subunit (EutB) (PDB:3ABO)",11.89483404,5.63E-04,0.02949432,Sourdough,COG4303,GC_00001692,0.4375,0.8621,32,29
"Ethanolamine ammonia-lyase, small subunit (EutC) (PDB:5YSN)",11.89483404,5.63E-04,0.02949432,Sourdough,COG4302,"GC_00001800, GC_00006246",0.4375,0.8621,32,29
Flagellar basal body rod protein FlgB (FlgB),11.84449682,5.78E-04,0.02949432,Other,COG1815,"GC_00002358, GC_00003774, GC_00006328",0.75,0.3103,32,29
Flagellin and related hook-associated protein FlgL (FlgL) (PDB:1IO1),11.84449682,5.78E-04,0.02949432,Other,COG1344,"GC_00002091, GC_00003947, GC_00004142, GC_00004180, GC_00004794, GC_00005238, GC_00006378, GC_00010105, GC_00010145",0.75,0.3103,32,29
Flagellar basal body-associated protein FliL (FliL),11.84449682,5.78E-04,0.02949432,Other,COG1580,"GC_00002263, GC_00003714, GC_00006473",0.75,0.3103,32,29
Flagellar motor switch protein FliG (FliG) (PDB:4FHR),11.84449682,5.78E-04,0.02949432,Other,COG1536,GC_00001809,0.75,0.3103,32,29
Chemotaxis protein histidine kinase CheA (CheA) (PDB:1B3Q),11.84449682,5.78E-04,0.02949432,Other,COG0643,"GC_00002112, GC_00004492, GC_00008666",0.75,0.3103,32,29
Flagellar hook protein FlgE (FlgE) (PDB:3A69),11.84449682,5.78E-04,0.02949432,Other,COG1749,"GC_00002128, GC_00004030, GC_00010168, GC_00010878",0.75,0.3103,32,29
"Two-component response regulator, YesN/AraC family, consists of REC and AraC-type DNA-binding domains (YesN)",11.84449682,5.78E-04,0.02949432,Other,COG4753,"GC_00001740, GC_00003889",0.75,0.3103,32,29
Methylase of chemotaxis methyl-accepting proteins (CheR) (PDB:1AF7),11.84449682,5.78E-04,0.02949432,Other,COG1352,"GC_00003186, GC_00003364, GC_00004231, GC_00007269",0.75,0.3103,32,29
Flagellar motor switch protein FliM (FliM) (PDB:2HP7),11.84449682,5.78E-04,0.02949432,Other,COG1868,"GC_00002392, GC_00004525, GC_00007511, GC_00009443",0.75,0.3103,32,29
Flagellar basal body P-ring formation protein FlgA (FlgA) (PDB:3VJP),11.84449682,5.78E-04,0.02949432,Other,COG1261,"GC_00002391, GC_00004265, GC_00008422, GC_00010663",0.75,0.3103,32,29
Flagellar hook-associated protein FlgK (FlgK) (PDB:2D4Y),11.84449682,5.78E-04,0.02949432,Other,COG1256,"GC_00002367, GC_00004158, GC_00006071",0.75,0.3103,32,29
Predicted small integral membrane protein,11.64793463,6.43E-04,0.031384788,Sourdough,COG5472,GC_00004047,0,0.3103,32,29
Flagellar motor protein MotB (MotB),11.64793463,6.43E-04,0.031384788,Other,COG1360,"GC_00001653, GC_00002335, GC_00004446, GC_00010039, GC_00010040",1,0.6897,32,29
"Cytochrome c, mono- and diheme variants (CccA) (PDB:1A2S)!!!Cytochrome c553 (CytC553) (PDB:6Q2U)!!!Thiosulfate dehydrogenase TsdA, contains C-terminal cytochrome c domain (TsdA) (PUBMED:32457501)",10.91203721,9.55E-04,0.045680731,Sourdough,COG2010!!!COG2863!!!COG3258,GC_00002399,0.125,0.5172,32,29
Xanthine/uracil permease (UraA) (PDB:3QE7),10.67609872,0.001085287,0.048519618,Sourdough,COG2233,"GC_00001349, GC_00008117, GC_00008144",0.5625,0.931,32,29
Alpha-acetolactate decarboxylase (AlsD) (PDB:1XV2),10.67609872,0.001085287,0.048519618,Sourdough,COG3527,GC_00001541,0.5625,0.931,32,29
"Cyclic di-GMP metabolism protein, combines GGDEF and EAL domains with a 6TM membrane domain",10.67609872,0.001085287,0.048519618,Other,COG5001,"GC_00004573, GC_00007881, GC_00008318, GC_00008686, GC_00010499, GC_00010752, GC_00011740",0.4375,0.069,32,29
"DNA-binding transcriptional regulator, HxlR family (HxlR) (PDB:1YYV)",10.61704998,0.001120497,0.048519618,Other,COG1733,"GC_00001027, GC_00002162, GC_00004137, GC_00004993, GC_00005997, GC_00006021, GC_00006842, GC_00008150, GC_00008213, GC_00008762, GC_00009808",0.9375,0.5862,32,29
"Aldehyde, CO or xanthine dehydrogenase, Mo-binding subunit (CoxL) (PDB:1DGJ) (PUBMED:10095793)!!!Cytochrome c, mono- and diheme variants (CccA) (PDB:1A2S)",10.61704998,0.001120497,0.048519618,Sourdough,COG1529!!!COG2010,GC_00002722,0.0625,0.4138,32,29
Cellobiose phosphorylase (PDB:1V7V) (PUBMED:17307853),10.54115068,0.001167457,0.049616928,Sourdough,COG3459,GC_00001658,0.3438,0.7586,32,29
"Flagellar motility protein MotE, a chaperone for MotC folding (MotE) (PUBMED:15101977)",10.17921813,0.001420324,0.056813033,Other,COG3334,"GC_00003637, GC_00004562, GC_00005929, GC_00006856, GC_00007394, GC_00010493",0.7188,0.3103,32,29
Chemotaxis signal transduction protein CheW (CheW) (PDB:2QDL),10.17921813,0.001420324,0.056813033,Other,COG0835,"GC_00002158, GC_00004010, GC_00010845, GC_00010846, GC_00011439",0.7188,0.3103,32,29
"NADPH-dependent glutamate synthase beta chain or related oxidoreductase (GltD) (PDB:1H7X)!!!Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, delta subunit (PorD) (PDB:5C4I)",10.15924026,0.001435798,0.056813033,Sourdough,COG0493!!!COG1144,GC_00002078,0.2188,0.6207,32,29
"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit (PorA) (PDB:5C4I)!!!Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit (PorB) (PDB:1B0P)!!!Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit (PorG) (PDB:1B0P)!!!Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I) (NuoI) (PDB:1B0P)",10.15924026,0.001435798,0.056813033,Sourdough,COG0674!!!COG1013!!!COG1014!!!COG1143,GC_00002084,0.2188,0.6207,32,29
Maleate cis-trans isomerase (PDB:2DGD),10.12374444,0.001463713,0.056935968,Sourdough,COG3473,GC_00003332,0.0312,0.3448,32,29
Adenosine deaminase (Add) (PDB:1A4L),9.879658289,0.00167116,0.063921859,Other,COG1816,"GC_00001634, GC_00002710, GC_00003222, GC_00009528",0.9062,0.5517,32,29
"Alkylhydroperoxidase family enzyme, contains CxxC motif (YciW) (PDB:1GU9)",9.565923227,0.001982225,0.069960578,Sourdough,COG2128,"GC_00001263, GC_00005012, GC_00007795, GC_00010437, GC_00011229, GC_00011436",0.7188,1,32,29
"Uncharacterized conserved protein, DUF721 domain",9.565923227,0.001982225,0.069960578,Sourdough,COG5389,"GC_00001686, GC_00003870, GC_00006693",0.7188,1,32,29
"H+/gluconate symporter GntT or related permease, GntP/DsdX family (GntT)",9.362707646,0.002214448,0.069960578,Other,COG2610,"GC_00001533, GC_00006430, GC_00008672",0.875,0.5172,32,29
"Xanthine dehydrogenase, molybdopterin-binding subunit XdhB (XdhB)",9.328792551,0.002255809,0.069960578,Sourdough,COG4631,GC_00001384,0.5938,0.931,32,29
"Cell division septum initiation protein DivIVA, interacts with FtsZ and MinD (DivIVA) (PDB:2WUJ)",9.328792551,0.002255809,0.069960578,Sourdough,COG3599,GC_00001504,0.5938,0.931,32,29
"Predicted phosphohydrolase, protein tyrosine phosphatase (PTP) superfamily, DUF442 family (PDB:2F46)",9.328792551,0.002255809,0.069960578,Sourdough,COG3453,GC_00001448,0.5938,0.931,32,29
"Xanthine dehydrogenase, Fe-S cluster and FAD-binding subunit XdhA (XdhA)",9.328792551,0.002255809,0.069960578,Sourdough,COG4630,GC_00001388,0.5938,0.931,32,29
Glucokinase (Glk) (PDB:1Q18),9.328792551,0.002255809,0.069960578,Other,COG0837,"GC_00003476, GC_00008630, GC_00008737",0.4062,0.069,32,29
Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria) (PtsA) (PDB:1EZA),9.328792551,0.002255809,0.069960578,Other,COG1080,"GC_00004217, GC_00005757",0.4062,0.069,32,29
Fructose-bisphosphate aldolase class 1 (Fba1),9.328792551,0.002255809,0.069960578,Other,COG3588,GC_00002680,0.4062,0.069,32,29
Protease II (PtrB) (PDB:4BP9),9.328792551,0.002255809,0.069960578,Other,COG1770,GC_00002742,0.4062,0.069,32,29
Molybdopterin-guanine dinucleotide biosynthesis protein A (MobA) (PDB:1E5K) (PUBMED:32239579)!!!Molybdopterin synthase sulfur carrier subunit MoaD (MoaD) (PDB:1FM0) (PUBMED:32239579),9.328792551,0.002255809,0.069960578,Other,COG0746!!!COG1977,GC_00002341,0.4062,0.069,32,29
Predicted nucleotidyltransferase YcgL (YcgL),9.328792551,0.002255809,0.069960578,Other,COG3541,"GC_00003321, GC_00010436, GC_00011186",0.4062,0.069,32,29
HPr or related phosphotransfer protein (PtsH) (PDB:1CM2),9.328792551,0.002255809,0.069960578,Other,COG1925,GC_00002647,0.4062,0.069,32,29
Methionine synthase II (cobalamin-independent) (MetE) (PDB:1T7L),9.105291556,0.002548711,0.076609549,Other,COG0620,"GC_00001391, GC_00007166",0.9375,0.6207,32,29
Spore maturation protein CgeB,9.073823771,0.002592943,0.076609549,Other,COG4641,GC_00001990,0.625,0.2414,32,29
Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)!!!Spore maturation protein CgeB,9.073823771,0.002592943,0.076609549,Other,COG0438!!!COG4641,GC_00001893,0.625,0.2414,32,29
UDP-galactopyranose mutase (Glf) (PDB:1I8T),9.051722603,0.002624474,0.076609549,Sourdough,COG0562,GC_00001652,0.5,0.8621,32,29
"Prolyl endopeptidase PreP, S9A serine peptidase family (PreP) (PDB:1E5T)",8.997246806,0.002703866,0.076609549,Other,COG1505,"GC_00001839, GC_00004029, GC_00004313, GC_00009931",0.8438,0.4828,32,29
Molybdopterin-dependent catalytic subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases (MsrP) (PDB:1OGP) (PUBMED:26641313;32750406),8.997246806,0.002703866,0.076609549,Other,COG2041,GC_00001641,0.8438,0.4828,32,29
"Chromosome condensin MukBEF, ATPase and DNA-binding subunit MukB (MukB) (PDB:1QHL)",8.997246806,0.002703866,0.076609549,Other,COG3096,GC_00001644,0.8438,0.4828,32,29
Ketopantoate reductase (PanE) (PDB:1BG6),8.822332766,0.00297566,0.083282196,Sourdough,COG1893,"GC_00002620, GC_00002839, GC_00008025, GC_00008446, GC_00009509",0.3438,0.7241,32,29
"Acyl carrier protein (AcpP) (PDB:1ACP)!!!NADPH:quinone reductase or related Zn-dependent oxidoreductase (Qor) (PDB:2VCY)!!!NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)!!!Acyl transferase domain in polyketide synthase (PKS) enzymes (PksD) (PDB:6IYO)",8.726292173,0.003136537,0.086727137,Sourdough,COG0236!!!COG0604!!!COG1028!!!COG3321,"GC_00006713, GC_00006714",0,0.2414,32,29
"GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)",8.569419104,0.003418562,0.089180866,Other,COG2199,"GC_00003548, GC_00004559, GC_00005189, GC_00005190, GC_00005232, GC_00005336, GC_00006304, GC_00008251, GC_00010305, GC_00010306, GC_00010338, GC_00011576, GC_00011715",0.7188,0.3448,32,29
"Taurine dioxygenase, alpha-ketoglutarate-dependent (TauD) (PDB:1DRT)",8.569419104,0.003418562,0.089180866,Sourdough,COG2175,"GC_00003136, GC_00005435, GC_00005553, GC_00006130, GC_00009557, GC_00010611",0.2812,0.6552,32,29
"ABC-type multidrug transport system, permease component (YadH)!!!ABC-type multidrug transport system, ATPase component (CcmA) (PDB:5DO7)",8.569419104,0.003418562,0.089180866,Sourdough,COG0842!!!COG1131,GC_00001924,0.2812,0.6552,32,29
"ABC-type multidrug transport system, permease component (YadH)",8.569419104,0.003418562,0.089180866,Sourdough,COG0842,GC_00001954,0.2812,0.6552,32,29
Prophage antirepressor,8.548310773,0.00345843,0.089180866,Sourdough,COG3617,"GC_00002242, GC_00003039, GC_00008675, GC_00010184",0.25,0.6207,32,29
Protein-L-isoaspartate O-methyltransferase (Pcm) (PDB:3LBF) (PUBMED:24909784),8.548310773,0.00345843,0.089180866,Sourdough,COG2518,"GC_00002588, GC_00008071, GC_00008269, GC_00010336, GC_00010775",0.25,0.6207,32,29
"Magnesium uptake protein YhiD/SapB, involved in acid resistance (SapB) (PUBMED:19798051)",8.494007315,0.003563181,0.090861123,Other,COG1285,"GC_00003092, GC_00006578, GC_00006857, GC_00008075, GC_00010202",0.5312,0.1724,32,29
"GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)!!!EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant) (EAL) (PDB:2BAS)",8.44797566,0.0036545,0.091163884,Other,COG2199!!!COG2200,"GC_00004021, GC_00006369, GC_00008048",0.4375,0.1034,32,29
"Alpha-glucosidase/xylosidase, GH31 family (YicI) (PDB:1WE5) (PUBMED:15294295)",8.44797566,0.0036545,0.091163884,Other,COG1501,"GC_00003683, GC_00005022",0.4375,0.1034,32,29
Transposase InsO and inactivated derivatives (Tra5)!!!Transposase InsE and inactivated derivatives (InsE) (PDB:2JN6) (PUBMED:23818957),8.400355325,0.003751477,0.092576765,Other,COG2801!!!COG2963,"GC_00000038, GC_00002098, GC_00002440, GC_00003707, GC_00006159, GC_00007987",0.9062,0.5862,32,29
"Fructose-bisphosphate aldolase class Ia, DhnA family (FbaB) (PDB:1OJX)",8.34434839,0.003868889,0.094458512,Sourdough,COG1830,"GC_00001399, GC_00005259",0.75,1,32,29
"FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase (LldD) (PDB:6AI7)",8.060977641,0.004522877,0.100120333,Other,COG1304,"GC_00002978, GC_00004859, GC_00006258, GC_00008763, GC_00010642",0.5625,0.2069,32,29
Phosphatidylglycerophosphatase A (PgpA) (PDB:1RFZ),8.055311798,0.004537043,0.100120333,Sourdough,COG1267,GC_00001424,0.625,0.931,32,29
H+/Cl- antiporter ClcA (ClcA) (PDB:1KPK)!!!Mg/Co/Ni transporter MgtE (contains CBS domain) (MgtE) (PDB:2YVX),8.055311798,0.004537043,0.100120333,Sourdough,COG0038!!!COG2239,"GC_00001491, GC_00008758",0.625,0.931,32,29
Type IV pilus assembly protein PilF/PilW (PilF) (PDB:2VQ2) (PUBMED:16403447),8.055311798,0.004537043,0.100120333,Sourdough,COG3063,"GC_00002400, GC_00004610, GC_00004942, GC_00006074, GC_00009279, GC_00009855, GC_00011268, GC_00011599",0.625,0.931,32,29
"Phosphotransferase system, mannose/fructose-specific component IIA (ManX) (PDB:1PDO)",8.055311798,0.004537043,0.100120333,Other,COG2893,"GC_00003736, GC_00006493",0.375,0.069,32,29
Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)!!!Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)!!!Lipopolysaccharide biosynthesis protein (RgpF),8.055311798,0.004537043,0.100120333,Other,COG0438!!!COG0463!!!COG3754,"GC_00002763, GC_00006431",0.375,0.069,32,29
Beta-xylosidase (XynB2) (PDB:1Y7B),8.055311798,0.004537043,0.100120333,Other,COG3507,GC_00002852,0.375,0.069,32,29
Flagellar biosynthesis regulator FlaF (FlaF),8.055311798,0.004537043,0.100120333,Other,COG5442,"GC_00003949, GC_00005697",0.375,0.069,32,29
"Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)!!!Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)",8.055311798,0.004537043,0.100120333,Other,COG0463!!!COG1216,"GC_00005098, GC_00005504, GC_00007282, GC_00010241, GC_00010391, GC_00011696",0.375,0.069,32,29
"Type II secretory pathway, pseudopilin PulG (PulG) (PDB:1AY2)",8.055311798,0.004537043,0.100120333,Other,COG2165,"GC_00003427, GC_00006958, GC_00007049, GC_00007172, GC_00007201, GC_00007222, GC_00008260, GC_00008671",0.375,0.069,32,29
Thiol-disulfide isomerase or thioredoxin (TrxA) (PDB:1XFL),7.95406839,0.00479794,0.101956224,Sourdough,COG0526,"GC_00002136, GC_00002282, GC_00003764, GC_00003864, GC_00003882, GC_00004185, GC_00008039, GC_00010760",0.6875,0.9655,32,29
Glycerate-2-kinase (GckA) (PDB:1X3L) (PUBMED:18156253),7.95406839,0.00479794,0.101956224,Sourdough,COG2379,"GC_00001600, GC_00004688",0.6875,0.9655,32,29
"ABC-type molybdate transport system, periplasmic Mo-binding protein ModA (ModA) (PDB:1AMF)",7.95406839,0.00479794,0.101956224,Other,COG0725,"GC_00003841, GC_00008420",0.3125,0.0345,32,29
"UDP-N-acetyl-D-mannosaminuronic acid transferase, WecB/TagA/CpsF family (WecG)",7.95406839,0.00479794,0.101956224,Other,COG1922,"GC_00005774, GC_00006461",0.3125,0.0345,32,29
"MbtH family protein, regulates adenylation domains of NRPSs (MbtH) (PDB:2GPF) (PUBMED:21890635;29921120)",7.910016732,0.004916181,0.103510427,Other,COG3251,"GC_00001831, GC_00002745, GC_00004847",0.875,0.5517,32,29
"Uncharacterized conserved protein, DUF2184 domain",7.767118391,0.005320586,0.111006772,Sourdough,COG4834,"GC_00001662, GC_00004585, GC_00009250",0.5312,0.8621,32,29
Cu/Ag efflux pump CusA (CusA) (PDB:3K07),7.343106823,0.006732039,0.13307007,Other,COG3696,"GC_00000018, GC_00001403, GC_00002276, GC_00008370",1,0.7931,32,29
Nicotinamidase-related amidase (PncA) (PDB:1ILW),7.343106823,0.006732039,0.13307007,Other,COG1335,"GC_00002071, GC_00002083, GC_00002655, GC_00002788, GC_00004654, GC_00005144, GC_00006095, GC_00008611, GC_00010512, GC_00010513, GC_00010550, GC_00011306",1,0.7931,32,29
L-amino acid N-acyltransferase MnaT (MnaT) (PDB:3DR6) (PUBMED:27941785),7.325684788,0.006797606,0.13307007,Other,COG1247,"GC_00001951, GC_00003143, GC_00004115",0.8125,0.4828,32,29
Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7),7.282782658,0.006961861,0.13307007,Other,COG0840,"GC_00002054, GC_00002437, GC_00003343, GC_00003514, GC_00003986, GC_00004962, GC_00005138, GC_00005313, GC_00006582, GC_00007029, GC_00010034, GC_00010411, GC_00010585, GC_00010769, GC_00011079, GC_00011563",0.6562,0.3103,32,29
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (IspD) (PDB:1H3M),7.243022997,0.007117704,0.13307007,Sourdough,COG1211,GC_00004322,0.0312,0.2759,32,29
"Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family (OCDMu) (PDB:2I99)",7.23253047,0.007159422,0.13307007,Sourdough,COG2423,"GC_00002370, GC_00002790, GC_00005059, GC_00005246, GC_00006505, GC_00006976",0.5,0.8276,32,29
Predicted methyltransferase,7.23253047,0.007159422,0.13307007,Other,COG4798,"GC_00002466, GC_00006467",0.5,0.1724,32,29
Serine/threonine protein kinase (SPS1) (PDB:6G4J),7.23253047,0.007159422,0.13307007,Other,COG0515,"GC_00004286, GC_00007197, GC_00007826, GC_00008161, GC_00009985, GC_00010568, GC_00010838",0.5,0.1724,32,29
Cytochrome b subunit of formate dehydrogenase (FdnI) (PDB:1KQF),7.209597088,0.007251477,0.13307007,Sourdough,COG2864,GC_00001537,0.5938,0.8966,32,29
Molybdopterin-guanine dinucleotide biosynthesis protein (MobB) (PDB:1NP6) (PUBMED:32239579),7.209597088,0.007251477,0.13307007,Sourdough,COG1763,GC_00001500,0.5938,0.8966,32,29
Fe-S-cluster-containing dehydrogenase component (DMSO reductase) (HybA) (PDB:2VPW),7.209597088,0.007251477,0.13307007,Sourdough,COG0437,GC_00001463,0.5938,0.8966,32,29
Formate dehydrogenase maturation protein FdhE (FdhE) (PDB:2FIY),7.209597088,0.007251477,0.13307007,Sourdough,COG3058,"GC_00002372, GC_00002676, GC_00004388, GC_00008756",0.5938,0.8966,32,29
"Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family (VOC) (PDB:3OXH) (PUBMED:31710815)",7.209597088,0.007251477,0.13307007,Other,COG3324,"GC_00002560, GC_00010358, GC_00011400",0.4062,0.1034,32,29
Pullulanase/glycogen debranching enzyme (PulA) (PDB:2WSK),7.177732406,0.007381394,0.13307007,Sourdough,COG1523,"GC_00003036, GC_00005459, GC_00008201",0.2188,0.5517,32,29
Malate synthase (AceB) (PDB:1D8C),7.167945401,0.007421773,0.13307007,Other,COG2225,GC_00005004,0.2188,0,32,29
Glycerate kinase (GlxK) (PDB:1TO6),7.167945401,0.007421773,0.13307007,Other,COG1929,GC_00005386,0.2188,0,32,29
Tellurite resistance protein TehA and related permeases (TehA) (PDB:3M71),7.167945401,0.007421773,0.13307007,Other,COG1275,GC_00005101,0.2188,0,32,29
L-lactate permease (LldP),7.167945401,0.007421773,0.13307007,Sourdough,COG1620,"GC_00001476, GC_00002962",0.7812,1,32,29
Antitoxin component MazE of the MazEF toxin-antitoxin module (MazE) (PDB:1MVF),7.107558829,0.007675957,0.136560634,Other,COG2336,"GC_00002120, GC_00002556, GC_00002886, GC_00006800, GC_00007560",0.7188,0.3793,32,29
Predicted small secreted protein,6.849701346,0.008865609,0.147438935,Other,COG5510,"GC_00003709, GC_00007259",0.3438,0.069,32,29
